attribute	symbol	geneid
NM_020633	V1RL1	_
NM_004182	UXT	8409
NM_003369	UVRAG	7405
NM_007125	UTY	7404
NM_021140	UTX	_
AF000993	UTX	_
NM_006786	UTS2	10911
NM_007124	UTRN	7402
Contig2226_RC	UTRN	7402
NM_003577	UTF1	8433
NM_005715	UST	10090
AF000986	USP9Y	8287
AF070645	USP9X	8239
NM_004652	USP9X	8239
NM_005154	USP8	9101
NM_003470	USP7	7874
NM_004505	USP6	9098
NM_003481	USP5	8078
NM_003363	USP4	7375
NM_006537	USP3	9960
NM_013396	USP25	29761
AB028980	USP24	23358
AB028986	USP22	23326
NM_016572	USP21	27005
NM_012475	USP21	27005
NM_006676	USP20	10868
NM_004205	USP2	9099
AB020698	USP19	10869
NM_017414	USP18	11274
NM_006447	USP16	10600
AF106069	USP15	9958
NM_005151	USP14	9097
NM_003940	USP13	8975
AF022789	USP12	219333
NM_004651	USP11	8237
AL162049	USP10	9100
NM_003368	USP1	7398
NM_007123	USH2A	7399
NM_003367	USF2	7392
NM_007122	USF1	7391
NM_000375	UROS	7390
NM_000374	UROD	7389
NM_005703	UREB1	_
NM_006004	UQCRH	7388
NM_006003	UQCRFS1	7386
NM_003366	UQCRC2	7385
NM_003365	UQCRC1	7384
NM_006294	UQCRB	7381
NM_006830	UQCR	_
NM_006953	UPK3	_
NM_006760	UPK2	7379
NM_006952	UPK1B	7348
NM_007000	UPK1A	11045
Contig39364_RC	UPF3B	65109
AK001069	UPF3A	65110
NM_003364	UP	_
NM_007178	UNRIP	_
AF040964	unknown protein IT1	_
AF116909	unknown	_
AF114263	unknown	_
AF114264	unknown	_
AF055020	unknown	_
D29810	unknown	_
U79241	unknown	_
U79260	unknown	_
U79298	unknown	_
AF007152	unknown	_
AF007157	unknown	_
U79302	unknown	_
U79304	unknown	_
U47671	unknown	_
AF085351	unknown	_
U82303	unknown	_
U82306	unknown	_
AF131827	Unknown	_
AF131842	Unknown	_
AF131852	Unknown	_
X52486	UNG2	_
NM_021147	UNG2	_
NM_003362	UNG	7374
NM_018974	UNC93A	54346
NM_003728	UNC5C	8633
NM_006377	UNC13	_
NM_005148	UNC119	9094
NM_000373	UMPS	7372
NM_012474	UMPK	_
NM_003361	UMOD	7369
NM_003565	ULK1	8408
NM_005836	UK114	_
NM_005827	UGTREL1	_
NM_003360	UGT8	7368
NM_001074	UGT2B7	7364
AF064200	UGT2B4	7363
NM_021139	UGT2B4	7363
NM_001077	UGT2B17	7367
NM_001076	UGT2B15	7366
NM_001073	UGT2B11	10720
NM_001075	UGT2B10	7365
NM_006798	UGT2A1	10941
S55985	UGT1A9	54600
U89507	UGT1A9	54600
NM_019076	UGT1A8	54576
NM_001072	UGT1A6	54578
NM_000463	UGT1A1	54658
NM_006759	UGP2	7360
NM_003359	UGDH	7358
NM_020121	UGCGL2	_
NM_020120	UGCGL1	_
NM_003358	UGCG	7357
NM_003357	UGB	_
NM_005659	UFD1L	7353
NM_004277	UCP4	_
NM_003356	UCP3	7352
NM_003355	UCP2	7351
U28480	UCP1	7350
NM_006002	UCHL3	7347
NM_004181	UCHL1	7345
Contig43639_RC	UCHL1	7345
NM_015984	UCH37	_
AJ250475	UCC1	_
D87684	UBXDC1	_
NM_014233	UBTF	7343
NM_017481	UBQLN3	50613
NM_013444	UBQLN2	29978
NM_013438	UBQLN1	29979
NM_019116	UBPH	_
NM_014517	UBP1	7342
NM_016936	UBN1	29855
Contig65670_RC	UBL5	59286
NM_014235	UBL4	_
NM_007106	UBL3	5412
NM_003352	UBL1	_
NM_006048	UBE4B	10277
NM_004788	UBE4A	9354
NM_000462	UBE3A	ENSG00000224078
AF049140	UBE2V2	7336
AF155120	UBE2V1	7335
NM_003349	UBE2V1	7335
AL049932	UBE2N	7334
NM_003348	UBE2N	7334
NM_003969	UBE2M	9040
NM_004223	UBE2L6	9246
NM_003347	UBE2L3	7332
NM_003345	UBE2I	7329
NM_003344	UBE2H	7328
NM_003343	UBE2G2	7327
D78514	UBE2G1	7326
NM_006357	UBE2E3	10477
Contig55500_RC	UBE2E2	7325
NM_003341	UBE2E1	ENSG00000223791
NM_003340	UBE2D3	7323
Contig46586	UBE2D3	7323
NM_003339	UBE2D2	7322
NM_003338	UBE2D1	7321
NM_003337	UBE2B	7320
NM_003336	UBE2A	7319
NM_003335	UBE1L	_
NM_003968	UBE1C	_
NM_003334	UBE1	_
NM_006398	UBD	10537
NM_007019	UBCH10	_
M26880	UBC	7316
Contig64691	UBB	7314
NM_018961	UBASH3A	53347
NM_016525	UBAP	_
NM_003333	UBA52	7311
NM_005499	UBA2	10054
NM_003115	UAP1	6675
NM_004247	U5-116KD	_
NM_004818	U5-100K	_
NM_004704	U3-55K	_
NM_007279	U2AF65	_
NM_005089	U2AF1RS2	_
D49676	U2AF1RS1	_
NM_005083	U2AF1RS1	_
NM_006758	U2AF1	7307
NM_007020	U1SNRNPBP	_
NM_014383	TZFP	_
NM_000550	TYRP1	7306
NM_003332	TYROBP	7305
NM_006293	TYRO3	7301
NM_000372	TYR	7299
NM_006564	TYMSTR	_
Contig49317_RC	TYMS	7298
NM_001071	TYMS	7298
NM_003331	TYK2	7297
NM_003330	TXNRD1	ENSG00000198431
NM_006541	TXNL2	_
NM_004786	TXNL	_
AL080080	TXNDC	_
NM_012473	TXN2	25828
AF065241	TXN	7295
NM_003329	TXN	7295
NM_003328	TXK	7294
Contig57805_RC	TUSP	_
NM_020245	TUSP	_
NM_003324	TULP3	7289
Contig30267_RC	TULP3	7289
NM_003323	TULP2	7288
NM_003322	TULP1	7287
NM_020127	TUFT1	7286
NM_003321	TUFM	7284
NM_016437	TUBG2	27175
NM_001070	TUBG1	7283
NM_006087	TUBB5	_
NM_020040	TUBB4Q	ENSG00000251297
NM_006086	TUBB4	_
NM_006088	TUBB2	_
NM_001069	TUBB	203068
NM_018943	TUBA8	51807
NM_006009	TUBA3	_
Contig4324_RC	TUBA1	_
NM_003320	TUB	7275
NM_007177	TU3A	_
NM_016575	TU12B1-TY	_
Contig53047_RC	TTYH1	57348
NM_020659	TTYH1	57348
AF000991	TTY2	_
AF000990	TTY1	_
X56789	TTS-2.2	_
NM_000371	TTR	7276
NM_000370	TTPA	7274
NM_003319	TTN	7273
AL096883	TTLL1	25809
NM_003318	TTK	7272
NM_006790	TTID	_
Contig40471_RC	TTID	_
NM_003594	TTF2	8458
NM_007344	TTF1	7270
NM_004623	TTC4	7268
D84294	TTC3	7267
NM_003316	TTC3	7267
Contig36373_RC	TTC2	_
NM_003314	TTC1	7265
NM_003313	TSTA3	7264
NM_003312	TST	7263
NM_003311	TSSC3	_
NM_003310	TSSC1	7260
U58096	TSPY	_
NM_005723	TSPAN-5	_
NM_005724	TSPAN-3	_
NM_005725	TSPAN-2	_
NM_005727	TSPAN-1	_
NM_013270	TSP50	_
NM_005999	TSNAX	7257
NM_004622	TSN	7247
NM_012472	TSLRP	_
NM_000369	TSHR	7253
NM_000549	TSHB	7252
NM_006292	TSG101	7251
Contig45112_RC	TSG	_
NM_020648	TSG	_
AF110399	TSFM	10102
AF187813	TSC501	_
NM_006022	TSC22	_
NM_000548	TSC2	7249
NM_021055	TSC2	7249
NM_000368	TSC1	7248
AB025008	TSA1902	_
AB037903	truncated AKR	_
NM_003496	TRRAP	8295
NM_014112	TRPS1	7227
NM_003307	TRPC7	57113
NM_004621	TRPC6	7225
NM_012471	TRPC5	ENSG00000204025
NM_016179	TRPC4	7223
NM_003305	TRPC3	7222
Contig17332_RC	TRPC2	ENSG00000182048
NM_003304	TRPC1	7220
NM_020389	trp7	_
NM_005480	TROAP	10024
NM_016157	TRO	7216
NM_003303	TRO	7216
NM_013433	TRN2	_
Contig59661_RC	TRN-SR	_
NM_012470	TRN-SR	_
Contig65900	TRIP7	_
AF000974	TRIP6	7205
NM_016213	TRIP4	9325
AL133017	TRIP3	_
NM_004236	TRIP15	_
Contig54335_RC	TRIP15	_
U96131	TRIP13	9319
NM_004238	TRIP12	9320
D28476	TRIP12	9320
AF007217	TRIP11	9321
NM_004239	TRIP11	9321
AJ000414	TRIP10	9322
NM_005879	TRIP	_
NM_007118	TRIO	7204
AB011089	TRIM2	23321
NM_016388	TRIM	_
NM_019011	TRIAD3	_
NM_003301	TRHR	7201
NM_013381	TRHDE	29953
NM_007117	TRH	7200
M17323	TRGC2	6967
Y00790	TRG@	6965
NM_004275	TRFP	_
NM_006999	TRF4	_
NM_007205	TREX2	11219
NM_007248	TREX1	11277
NM_018965	TREM2	54209
NM_018643	TREM1	54210
NM_007180	TREH	11181
NM_006073	TRDN	10345
X73617	TRD@	6964
NM_007218	TRC8	_
X00437	TRB@	6957
NM_005481	TRAP95	_
NM_005121	TRAP240	_
NM_005119	TRAP150	_
NM_016292	TRAP1	10131
NM_004257	TRAP-1	_
NM_014294	TRAM	_
NM_004909	TRAG3	_
NM_004620	TRAF6	7189
AB000509	TRAF5	7188
U81002	TRAF4 associated factor 1	_
NM_004295	TRAF4	9618
NM_003300	TRAF3	7187
U12597	TRAF2	7186
NM_021138	TRAF2	7186
NM_005658	TRAF1	7185
Contig57715	TRADD	8717
NM_007064	TRAD	_
AJ252060	TRABID	_
NM_003299	TRA1	_
AF018171	TRA@	6955
AJ245600	TR2/D15	_
NM_006440	TR	_
NM_003296	TPX1	_
NM_013315	TPTE	7179
NM_003295	TPT1	7178
NM_014317	TPT	_
NM_003595	TPST2	8459
NM_003596	TPST1	8460
NM_012467	TPSG1	25823
NM_003294	TPSB1	_
NM_003293	TPS1	_
NM_003292	TPR	7175
NM_003291	TPP2	7174
NM_000547	TPO	7173
NM_000367	TPMT	7172
NM_003290	TPM4	7171
NM_003289	TPM2	7169
NM_000366	TPM1	7168
NM_000365	TPI1	7167
NM_004179	TPH	_
NM_003288	TPD52L2	7165
NM_003287	TPD52L1	7164
NM_005079	TPD52	7163
NM_005427	TP73	ENSG00000227372
NM_003722	TP63	8626
NM_016212	TP53TG3a	_
NM_015369	TP53TG3	24150
NM_007233	TP53TG1	11257
AB007458	TP53TG1	11257
NM_005802	TP53BPL	_
NM_005426	TP53BP2	7159
NM_005657	TP53BP1	7158
Contig43544_RC	TP53BP1	7158
Contig21652_RC	TP53BP1	7158
AL117440	TP53BP1	7158
NM_000546	TP53	7157
NM_005449	TOSO	_
Contig52740_RC	TOR2A	27433
AF007872	TOR1B	27348
NM_018492	TOPK	_
NM_007027	TOPBP1	11073
NM_003935	TOP3B	8940
U43431	TOP3A	7156
NM_004618	TOP3A	7156
X68060	TOP2B	7155
NM_001067	TOP2A	7153
J03250	TOP1	7150
NM_016267	TONDU	_
NM_014820	TOMM70A	9868
NM_006809	TOM34	_
NM_005486	TOM1L1	10040
NM_005488	TOM1	10043
NM_012469	TOM	_
NM_016567	TOK-1	_
NM_016272	TOB2	10766
NM_005749	TOB1	10140
NM_007116	TNXA	ENSG00000248352
NM_018274	TNS	_
NM_018567	TNS	_
Contig50094	TNRC9	_
U80736	TNRC9	_
NM_006586	TNRC5	_
NM_007185	TNRC4	_
NM_005878	TNRC3	_
U80756	TNRC21	_
Contig21775_RC	TNRC15	_
AB014542	TNRC15	_
U80743	TNRC12	_
NM_005120	TNRC11	_
NM_006448	TNRC1	_
NM_003285	TNR	ENSG00000235628
NM_005425	TNP2	7142
NM_003284	TNP1	7141
NM_006757	TNNT3	7140
NM_000364	TNNT2	7139
NM_003283	TNNT1	7138
NM_000363	TNNI3	7137
NM_003282	TNNI2	7136
NM_003281	TNNI1	7135
NM_003279	TNNC2	7125
NM_003280	TNNC1	7134
NM_003747	TNKS	8658
NM_003985	TNK1	8711
NM_003811	TNFSF9	8744
NM_001244	TNFSF8	944
NM_001252	TNFSF7	_
NM_000639	TNFSF6	_
NM_000074	TNFSF5	_
NM_003326	TNFSF4	7292
NM_005092	TNFSF18	8995
NM_005118	TNFSF15	9966
NM_003807	TNFSF14	8740
NM_006573	TNFSF13B	10673
NM_003808	TNFSF13	407977
NM_003809	TNFSF12	407977
AF053712	TNFSF11	8600
NM_003810	TNFSF10	8743
NM_001561	TNFRSF9	3604
NM_001243	TNFRSF8	943
NM_001242	TNFRSF7	_
AB029011	TNFRSF6B	8771
NM_016434	TNFRSF6B	8771
NM_003823	TNFRSF6B	8771
NM_000043	TNFRSF6	_
NM_001250	TNFRSF5	_
NM_003327	TNFRSF4	7293
NM_001066	TNFRSF1B	7133
NM_001065	TNFRSF1A	7132
NM_004195	TNFRSF18	8784
NM_001192	TNFRSF17	608
NM_003820	TNFRSF14	8764
NM_003790	TNFRSF12	_
NM_002546	TNFRSF11B	4982
NM_003839	TNFRSF11A	8792
NM_003840	TNFRSF10D	8793
AF016267	TNFRSF10C	8794
NM_003841	TNFRSF10C	8794
NM_003842	TNFRSF10B	8795
NM_003844	TNFRSF10A	8797
NM_007115	TNFAIP6	7130
NM_006290	TNFAIP3	7128
NM_006291	TNFAIP2	7127
M80783	TNFAIP1	7126
NM_021137	TNFAIP1	7126
AF040257	TNF receptor homolog	_
X01394	TNF	7124
NM_000594	TNF	7124
NM_003278	TNA	_
D82345	TMSNB	_
NM_013384	TMSG1	_
NM_004202	TMSB4Y	9087
M17733	TMSB4X	7114
AF090913	TMSB10	9168
NM_021103	TMSB10	9168
NM_016425	TMPRSS4	56649
AF179224	TMPRSS4	56649
Contig67229_RC	TMPRSS3	64699
NM_005656	TMPRSS2	7113
Contig53506	TMPRSS2	7113
Contig2873_RC	TMPO	7112
NM_003276	TMPO	7112
L40391	TMP21	_
NM_006827	TMP21	_
Contig41895_RC	TMP21	_
NM_013353	TMOD4	29765
NM_014547	TMOD3	29766
NM_014548	TMOD2	29767
NM_003275	TMOD	_
NM_007114	TMF1	7110
Contig1805_RC	TMEPAI	_
NM_020182	TMEPAI	_
NM_014254	TMEM5	10329
NM_014255	TMEM4	_
NM_013390	TMEM2	23670
NM_003274	TMEM1	_
AB004064	TMEFF2	23671
NM_016192	TMEFF2	23671
Contig56457_RC	TMEFF1	100526694
NM_003692	TMEFF1	100526694
Contig45613_RC	TMEFF1	100526694
AJ132820	tMDC II	_
NM_004800	TM9SF2	9375
NM_006405	TM9SF1	10548
NM_016551	TM7SF3	51768
NM_003273	TM7SF2	7108
NM_003272	TM7SF1	_
NM_003271	TM4SF7	_
NM_003270	TM4SF6	_
NM_003963	TM4SF5	9032
NM_004617	TM4SF4	7104
NM_004616	TM4SF3	_
NM_004615	TM4SF2	_
M90657	TM4SF1	4071
NM_012466	TM4-B	_
NM_021025	TLX3	30012
S62138	TLS/CHOP	_
NM_016610	TLR8	ENSG00000233338
NM_016562	TLR7	192221
NM_006068	TLR6	10333
AF051151	TLR5	7100
NM_003266	TLR4	7099
NM_003265	TLR3	7098
NM_003264	TLR2	7097
NM_003263	TLR1	7096
NM_003262	TLOC1	_
AB028950	TLN1	7094
NM_006289	TLN1	7094
NM_012465	TLL2	7093
NM_012464	TLL1	7092
AF162667	TLK2	11011
Contig40949_RC	TLK2	11011
NM_012290	TLK1	9874
NM_016236	TLH6	_
AB033087	TLE4	7091
NM_005078	TLE3	7090
NM_003260	TLE2	7089
NM_005077	TLE1	7088
AJ012755	tl132	_
NM_012253	TKTL1	8277
NM_001064	TKT	7086
U80628	TK2	7084
NM_004614	TK2	7084
NM_003258	TK1	7083
NM_014428	TJP3	27134
Contig54829_RC	TJP3	27134
NM_004817	TJP2	9414
NM_003257	TJP1	7082
NM_012463	TJ6	_
NM_003317	TITF1	_
NM_005817	TIP47	_
NM_012143	TIP39	_
NM_006410	TIP30	_
NM_018448	TIP120	_
AK001327	TIP-1	_
NM_012461	TINF2	26277
NM_014464	TINAG	27283
AF195117	TIN-AG	_
NM_003256	TIMP4	7079
NM_000362	TIMP3	7078
NM_003255	TIMP2	7077
NM_003254	TIMP1	7076
AL137406	TIMM9	26520
NM_012460	TIMM9	26520
NM_012459	TIMM8B	26521
NM_004085	TIMM8A	1678
AF152352	TIMM13B	_
Contig31516_RC	TIMM13B	_
NM_012457	TIMM13A	_
NM_012456	TIMM10	26519
NM_003920	TIMELESS	8914
NM_006351	TIM44	_
NM_006327	TIM23	_
